 ,Area,Mean,X,Y
1,84,1.8,384.8,6.8
2,15,3.3,841.8,3.6
3,97,7.5,1319.7,7.6
4,150,2.0,215.6,10.1
5,257,1.9,354.8,15.6
6,218,2.3,914.7,9.4
7,15,1.3,698.8,7.0
8,65,1.8,235.0,11.0
9,126,1.9,775.3,13.2
10,5,3.0,814.7,7.9
11,98,53.2,49.4,15.4
12,97,1.8,1279.9,13.7
13,193,2.1,184.8,16.6
14,15,1.9,1191.2,11.8
15,320,1.9,757.9,23.4
16,280,2.1,116.5,25.0
17,44,1.7,866.4,15.8
18,165,1.7,390.6,20.9
19,47,1.5,941.8,17.4
20,300,1.9,1357.0,27.3
21,73,1.9,1290.8,19.0
22,79,74.4,140.9,20.9
23,186,1.8,311.3,24.2
24,68,86.7,1315.7,21.5
25,195,2.0,407.2,25.5
26,196,1.9,1414.3,25.0
27,213,2.0,211.6,28.0
28,338,1.8,854.2,41.1
29,182,1.6,442.3,28.5
30,40,34.5,812.9,24.8
31,39,1.8,1211.7,25.5
32,186,1.9,289.9,29.3
33,131,2.4,902.4,29.3
34,18,1.9,1252.9,24.6
35,67,2.0,1275.3,29.0
36,264,1.8,378.2,39.3
37,117,1.9,698.1,33.4
38,81,97.3,163.0,32.1
39,242,1.9,260.7,36.8
40,17,1.8,721.8,29.8
41,70,3.5,1332.1,35.2
42,269,2.0,77.9,38.4
43,242,4.8,775.1,38.0
44,205,1.7,945.0,40.1
45,250,4.9,129.7,44.2
46,181,1.9,1392.4,42.0
47,87,2.0,189.6,39.4
48,473,2.0,213.4,50.0
49,39,1.7,888.9,40.0
50,207,1.7,905.7,43.6
51,41,1.9,1288.8,39.0
52,204,1.7,630.2,48.0
53,271,51.6,1262.7,51.4
54,33,34.9,1315.1,43.9
55,87,7.2,30.7,49.0
56,49,7.2,41.9,49.5
57,8,1.5,1197.8,45.2
58,140,3.3,150.8,51.8
59,159,2.8,1346.4,53.0
60,177,2.0,282.2,54.9
61,169,1.6,410.9,50.4
62,219,2.0,243.2,56.6
63,134,1.9,891.3,55.6
64,82,2.2,162.7,54.3
65,196,1.8,303.3,59.2
66,8,1.6,445.8,50.5
67,224,1.7,788.5,64.6
68,52,1.9,339.2,54.3
69,54,1.9,1243.9,54.3
70,262,1.9,60.7,60.4
71,35,16.7,724.9,53.5
72,328,2.0,1395.1,67.2
73,24,2.0,1375.5,56.4
74,105,2.3,874.3,61.7
75,48,1.8,609.5,63.0
76,152,1.9,264.9,67.7
77,64,9.5,1410.8,65.7
78,237,2.3,176.2,70.9
79,223,2.2,100.0,70.0
80,64,1.8,359.9,67.0
81,102,1.9,822.0,69.7
82,191,2.1,1285.1,70.9
83,189,1.7,569.8,69.2
84,6,1.7,1227.7,63.8
85,244,2.2,133.0,74.2
86,63,1.7,628.6,71.5
87,171,1.8,853.7,75.4
88,80,3.1,703.0,79.7
89,99,1.9,208.6,82.6
90,292,16.6,155.7,89.1
91,209,1.9,373.0,97.4
92,72,1.9,245.3,88.2
93,76,2.8,321.2,88.0
94,36,83.8,471.1,86.6
95,102,1.8,223.7,90.4
96,25,8.8,731.5,86.7
97,38,1.9,1353.0,92.2
98,297,1.8,76.8,95.8
99,88,5.0,343.1,90.9
100,48,2.1,587.1,90.8
101,28,1.9,645.4,92.4
102,188,1.9,277.3,99.3
103,265,1.9,96.6,100.3
104,245,2.6,165.7,102.6
105,43,1.8,1409.0,94.8
106,426,1.9,134.1,107.5
107,108,4.2,354.7,101.4
108,97,1.8,408.0,98.8
109,302,3.6,444.6,115.2
110,83,1.8,616.9,99.6
111,72,2.0,206.9,102.5
112,221,2.3,302.0,108.6
113,47,2.5,476.8,103.4
114,217,2.2,797.9,108.6
115,81,142.1,325.6,108.0
116,31,1.9,665.7,107.0
117,179,2.1,722.9,118.1
118,83,1.8,270.2,115.3
119,75,19.6,188.3,116.6
120,48,2.0,607.8,116.9
121,350,1.9,231.5,125.3
122,177,2.0,1420.2,125.5
123,41,1.9,636.3,119.7
124,191,1.8,1381.8,125.4
125,190,13.8,1071.1,126.3
126,107,2.2,144.3,124.5
127,89,1.9,100.0,125.4
128,31,1.9,778.5,123.1
129,181,1.8,830.0,126.6
130,216,1.9,71.1,129.9
131,225,2.4,692.7,129.6
132,414,31.9,169.1,134.4
133,50,2.6,324.1,127.7
134,26,36.6,386.2,126.9
135,45,2.0,408.4,133.3
136,236,2.7,1060.8,140.3
137,101,2.0,1339.6,140.0
138,88,1.9,202.6,138.7
139,192,45.1,1093.1,141.7
140,49,1.9,621.7,138.5
141,97,2.1,1354.9,144.7
142,118,2.0,140.6,145.1
143,67,1.9,1432.3,145.5
144,218,2.1,119.0,146.8
145,25,2.0,667.6,141.9
146,164,2.0,363.3,150.3
147,3,1.7,575.2,145.2
148,196,2.0,716.6,153.7
149,166,2.1,778.2,154.8
150,37,1.8,595.0,149.8
151,141,2.0,172.4,153.0
152,210,1.9,1388.1,153.6
153,200,1.9,305.5,154.9
154,15,1.9,646.7,149.2
155,21,3.2,1420.4,153.9
156,196,3.9,1080.4,162.6
157,114,122.4,86.6,159.6
158,105,1.9,198.6,160.4
159,70,74.0,273.8,159.3
160,56,1.7,1011.1,158.2
161,51,3.1,382.3,163.6
162,42,1.8,1032.5,160.8
163,194,6.9,254.4,167.2
164,92,1.7,424.6,165.8
165,115,1.8,994.2,164.7
166,116,1.9,174.3,168.6
167,166,2.0,680.3,172.5
168,124,1.9,229.3,173.8
169,122,2.0,771.9,172.6
170,259,2.3,119.5,177.2
171,370,1.9,146.4,179.7
172,120,2.2,619.7,171.9
173,41,2.0,592.9,171.1
174,53,2.0,1367.6,172.4
175,194,2.0,1427.3,175.9
176,40,2.2,295.8,171.6
177,185,1.9,733.2,178.7
178,158,1.9,1114.3,176.1
179,57,2.4,564.7,174.0
180,48,1.8,328.6,175.3
181,120,2.0,578.2,177.5
182,37,1.9,1173.8,178.0
183,22,1.9,1384.2,177.0
184,100,1.9,361.8,180.2
185,21,1.8,783.9,179.5
186,70,81.6,260.8,184.3
187,165,23.1,708.5,191.7
188,114,1.9,1064.6,187.3
189,46,2.8,659.9,191.0
190,5,2.0,1020.9,187.7
191,170,1.8,555.2,200.4
192,16,1.9,1029.1,194.8
193,287,1.9,1095.7,204.3
194,14,1.9,313.9,196.9
195,40,108.0,628.3,197.6
196,38,1.8,978.8,200.9
197,24,1.8,1411.3,199.7
198,9,2.1,1432.1,197.6
199,16,1.9,798.8,202.6
200,3,1.7,825.8,200.8
201,166,132.0,1369.5,208.9
202,135,1.9,1132.1,210.7
203,64,2.0,662.8,207.5
204,207,4.4,608.2,212.1
205,1,1.0,770.5,205.5
206,191,3.4,1110.8,215.2
207,199,2.5,1169.5,212.9
208,166,2.1,695.0,215.7
209,69,1.9,963.2,212.3
210,24,1.8,945.0,211.2
211,21,3.2,1052.2,211.4
212,19,1.9,927.6,213.9
213,42,2.3,1432.7,214.7
214,16,1.9,760.5,217.0
215,79,2.0,1190.6,224.9
216,100,2.0,976.0,229.2
217,3,2.0,1024.5,222.5
218,69,6.3,1355.7,224.3
219,46,2.3,777.1,225.5
220,71,2.5,1176.2,228.1
221,38,2.2,1425.4,226.7
222,177,2.0,721.5,237.4
223,30,72.1,642.8,231.0
224,29,2.0,934.9,232.8
225,54,55.2,1108.4,235.1
226,43,85.0,1040.0,234.3
227,171,6.3,1137.8,240.1
228,206,1.8,544.9,238.6
229,50,7.5,760.0,235.0
230,29,2.1,865.8,233.3
231,42,47.5,581.2,237.3
232,10,2.6,1066.8,233.9
233,36,53.8,1089.7,236.6
234,14,2.1,786.1,237.2
235,58,14.6,1034.4,241.0
236,188,2.8,1190.3,246.0
237,30,48.2,1366.6,241.1
